과정ID,회차,기관ID,과정명,훈련시작일,훈련종료일,모집정원,수강신청인원,실제수강인원,수료인원,총훈련비,취업률_3개월,취업인원_3개월,취업률_6개월,취업인원_6개월,미가입_취업률_6개월,미가입_취업인원_6개월,연도,만족도,주소,NCS여부,총훈련일수,총훈련시간,수료율,수강신청률,일 평균 훈련시간,취업당 훈련비,수도권여부,취업률
AIG20210000313623,4,9915000040500,"AI기반 빅데이터분석(자바,파이썬) 및 RPA 자동화솔루션 개발자",2022-11-01,2023-04-28,20,12,9.0,8,8564000.0,25.0,2.0,37.5,3.0,0.0,0,2022,854,서울특별시 마포구 노고산동 신촌로 128,0,125,1000,88.89,60.0,8.0,2854666.67,1,37.5
AIG20220000409299,1,2006063390100,클라우드 CI/CD활용 자바웹&앱(코틀린&도커) 개발자 양성,2022-11-14,2023-05-26,20,12,11.0,11,9249120.0,33.3,3.0,44.4,4.0,11.1,1,2022,840,서울특별시 마포구 신촌로 94 (노고산동 그랜드플라자),0,135,1080,100.0,60.0,8.0,1849824.0,1,45.45
AIG20210000314425,5,2006075723800,오픈소스기반의 지능형 IoT 융합SW개발,2022-11-14,2023-05-16,20,11,10.0,7,8564000.0,42.9,3.0,42.9,3.0,28.6,2,2022,929,광주광역시 서구 경열로 3 (농성동),0,126,1000,70.0,55.0,7.94,1712800.0,0,71.43
AIG20220000366896,5,9911000019000,"프로젝트기반 프론트엔드(React,Vue) 웹&앱 SW개발자 양성과정",2022-11-16,2023-05-12,20,23,20.0,17,8307080.0,56.3,9.0,68.8,11.0,0.0,0,2022,833,서울특별시 강남구 역삼동 테헤란로5길 24,0,122,970,85.0,115.0,7.95,755189.09,1,64.71
AIG20220000409382,1,2000157923000,메타버스 콘텐츠 제너럴리스트 양성 과정,2022-11-23,2023-05-22,20,12,12.0,11,8221440.0,63.6,7.0,72.7,8.0,9.1,1,2022,863,"서울특별시 영등포구 당산로49길 4(당산동6가, 태인빌딩)",0,123,960,91.67,60.0,7.8,913493.33,1,81.82
AIG20220000409295,1,2005069841900,"자바,파이썬&머신러닝 융합 인공지능 SW 개발(스마트 Machine)",2022-11-24,2023-05-22,20,13,12.0,11,8221440.0,72.7,8.0,81.8,9.0,0.0,0,2022,906,경기도 화성시 병점3로 12 (병점동),0,120,960,91.67,65.0,8.0,913493.33,1,81.82
AIG20220000366725,2,1998498932812,"프로젝트기반 풀스택(프론트,백엔드) 개발자(자바,스프링,리액트) 양성",2022-11-24,2023-07-05,20,24,20.0,18,9942800.0,25.0,4.0,43.8,7.0,0.0,0,2022,872,경기도 성남시 분당구 구미동 돌마로 46,0,153,1161,90.0,120.0,7.59,1420400.0,1,38.89
AIG20220000409312,1,1309220578000,기계설계와 스마트팩토리 MES 개발자 양성_by 카티아/자바/파이썬/IOT 활용,2022-11-28,2023-06-15,20,9,5.0,4,9077840.0,50.0,2.0,50.0,2.0,0.0,0,2022,933,서울특별시 종로구 우정국로2길 21 (관철동 대왕빌딩),0,133,1060,80.0,45.0,7.97,4538920.0,1,50.0
AIG20210000328867,2,1997007167000,Azure기반 DS 실무 개발자 양성 과정,2022-11-28,2023-05-23,20,12,12.0,11,8224320.0,30.0,3.0,60.0,6.0,0.0,0,2022,800,서울특별시 송파구 중대로 135,0,121,960,91.67,60.0,7.93,1370720.0,1,54.55
AIG20220000409240,2,1998498932802,『기업연계 프로젝트형』 웹디자인(웹퍼블리셔)&프론트엔드 SW개발자 양성,2022-11-29,2023-05-23,20,22,20.0,20,8221440.0,45.0,9.0,65.0,13.0,5.0,1,2022,924,서울특별시 종로구 수표로 96 (관수동 국일관드림펠리스),0,120,960,100.0,110.0,8.0,587245.71,1,70.0
AIG20210000314433,3,1995025442300,엣지 컴퓨팅 활용 IoT시스템 개발자,2022-12-06,2023-06-07,20,14,10.0,9,15850280.0,55.6,5.0,66.7,6.0,0.0,0,2022,909,충청남도 공주시 의당면 의당전의로 415,1,124,940,90.0,70.0,7.58,2641713.33,0,66.67
AIG20220000366913,3,1309220578000,빅데이터분석(with 파이썬)과 엘라스틱서치를 활용한 자바(Java)웹개발자양성,2022-12-07,2023-07-21,20,17,15.0,14,11615620.0,38.5,5.0,53.8,7.0,7.7,1,2022,847,서울특별시 종로구 우정국로2길 21 (관철동 대왕빌딩),0,153,1220,93.33,85.0,7.97,1451952.5,1,57.14
AIG20220000366784,1,1999098928801,"자바 웹개발&파이썬, AI활용 과정",2022-12-08,2023-06-14,20,7,6.0,2,8564000.0,50.0,1.0,50.0,1.0,0.0,0,2022,1000,서울특별시 영등포구 양산로 53 (양평동3가 월드메르디앙비즈센터),0,126,1000,33.33,35.0,7.94,8564000.0,1,50.0
AIG20220000409298,1,2006063390100,기업프로젝트 기반 빅데이터 분석 AI 융합전문가 양성(머신러닝&딥러닝),2022-12-12,2023-07-17,20,12,12.0,9,11425200.0,50.0,3.0,66.7,4.0,0.0,0,2022,702,서울특별시 마포구 신촌로 94 (노고산동 그랜드플라자),0,150,1200,75.0,60.0,8.0,2856300.0,1,44.44
AIG20220000409390,1,2001036031102,지능형 블록체인 웹 개발자 양성과정,2022-12-26,2023-08-22,20,19,17.0,17,5640360.0,75.0,12.0,75.0,12.0,0.0,0,2022,877,충청남도 천안시 동남구 문암로 76,0,128,660,100.0,95.0,5.16,470030.0,0,70.59
AIG20210000314454,3,1995025442300,무인이동체용 지능형임베디드시스템 개발자,2022-12-26,2023-06-27,20,14,9.0,9,18181480.0,37.5,3.0,62.5,5.0,0.0,0,2022,820,충청남도 공주시 의당면 의당전의로 415,1,124,940,100.0,70.0,7.58,3636296.0,0,55.56
AIG20210000314413,6,1998470867400,클라우드컴퓨팅과 보안솔루션을 활용한 DC 엔지니어 양성,2022-12-26,2023-06-13,20,15,13.0,12,7795970.0,41.7,5.0,66.7,8.0,0.0,0,2022,891,서울특별시 관악구 봉천로 227 (봉천동 보라매샤르망),0,116,910,92.31,75.0,7.84,974496.25,1,66.67
AIG20210000313599,2,1998133640100,5G·AI 자율주행 인력양성(feat.실증도로),2022-12-26,2023-07-03,20,16,14.0,5,8968780.0,50.0,2.0,75.0,3.0,25.0,1,2022,798,대구광역시 동구 동대구로 566 (신암동),0,129,957,35.71,80.0,7.42,2242195.0,0,80.0
AIG20220000366746,1,2007078468800,클라우드기반 AI&빅데이터 서비스 풀스택 개발자,2022-12-29,2023-07-10,20,12,9.0,7,8992200.0,66.7,4.0,66.7,4.0,0.0,0,2022,850,"부산광역시 부산진구 서전로10번길 28(부전동, 오기빌딩)",0,132,1050,77.78,60.0,7.95,2248050.0,0,57.14
AIG20210000314421,4,4088524106000,"VR,AR 게임개발 및 에셋디자이너 양성과정",2022-12-29,2023-07-03,20,18,16.0,9,7536320.0,22.2,2.0,33.3,3.0,0.0,0,2022,886,광주광역시 광산구 첨단중앙로 96,0,126,880,56.25,90.0,6.98,2512106.67,0,33.33
AIG20220000409445,2,202000792,프로젝트 기반 빅데이터 서비스 개발자 양성 과정,2022-12-30,2023-06-30,20,19,15.0,12,17714400.0,100.0,11.0,100.0,11.0,0.0,0,2022,812,서울특별시 금천구 가산로9길 54,0,124,976,80.0,95.0,7.87,1610400.0,1,91.67
AIG20220000409349,1,201902338,빅데이터와 AI를 융합한 풀스택 개발자 양성,2022-12-30,2023-06-27,20,20,14.0,12,7707600.0,50.0,6.0,50.0,6.0,16.7,2,2022,927,전라북도 전주시 덕진구 백제대로 572 (금암동),0,119,900,85.71,100.0,7.56,963450.0,0,66.67
AIG20220000366896,7,9911000019000,"프로젝트기반 프론트엔드(React,Vue) 웹&앱 SW개발자 양성과정",2022-12-30,2023-06-27,20,20,16.0,11,8307080.0,11.1,1.0,44.4,4.0,11.1,1,2022,833,서울특별시 강남구 역삼동 테헤란로5길 24,0,122,970,68.75,100.0,7.95,1661416.0,1,45.45
AIG20210000328968,4,2007001844200,유니티(Unity)기반 실감형콘텐츠(메타버스/VR/AR) 개발자 취업캠프,2022-12-30,2023-06-29,20,18,9.0,8,7755720.0,37.5,3.0,75.0,6.0,0.0,0,2022,594,부산광역시 부산진구 신천대로50번길 79 (부전동),0,123,980,88.89,90.0,7.97,1292620.0,0,75.0
AIG20210000328555,5,9915000040500,"블록체인기반 자바(JAVA) 프로그래밍 개발자(리액트,핀테크)",2022-12-30,2023-07-14,20,20,19.0,14,8820920.0,35.7,5.0,42.9,6.0,0.0,0,2022,748,서울특별시 마포구 노고산동 신촌로 128,0,129,1030,73.68,100.0,7.98,1470153.33,1,42.86
AIG20200000286683,3,1408179916000,빅데이터 비즈니스를 위한 데이터 애널리스트 양성과정,2022-12-30,2023-06-09,20,15,13.0,8,11765600.0,16.7,1.0,66.7,4.0,0.0,0,2022,865,서울특별시 금천구 가산디지털1로 168 (가산동 우림라이온스밸리),0,103,800,61.54,75.0,7.77,2941400.0,1,50.0
AIG20200000286642,3,1408179916000,프로젝트 기반 VR 콘텐츠 개발 과정_AR/디자인/어트랙션,2022-12-30,2023-05-24,20,15,13.0,10,13022850.0,20.0,2.0,30.0,3.0,0.0,0,2022,918,서울특별시 금천구 가산디지털1로 168 (가산동 우림라이온스밸리),0,96,756,76.92,75.0,7.88,4340950.0,1,30.0
AIG20210000313613,2,1998112837303,산업 프로젝트 기반 융합형 빅데이터 분석 전문가 과정,2022-03-02,2022-11-18,21,21,21.0,17,8568900.0,20.0,3.0,40.0,6.0,0.0,0,2022,680,대전광역시 대덕구 한남로 70,0,158,900,80.95,100.0,5.7,1428150.0,0,35.29
AIG20200000286586,2,1995025442300,OPC-UA 기반 스마트제조 지능형 MES 프로젝트,2022-10-04,2023-04-07,21,13,11.0,10,18660180.0,70.0,7.0,80.0,8.0,0.0,0,2022,896,충청남도 공주시 의당면 의당전의로 415,0,129,980,90.91,61.9,7.6,2332522.5,0,80.0
AIG20200000286653,3,1995025435604,자율형(Autonomy) IoT기반 Reality AI융합 전문가,2022-12-20,2023-07-10,21,23,21.0,21,18435700.0,94.7,18.0,94.7,18.0,0.0,0,2022,967,서울특별시 강서구 화곡로 179 (화곡동 대한상공회의소서울기술교육센터),0,136,950,100.0,109.52,6.99,1024205.56,1,85.71
AIG20200000313528,22,1298212249000,부스트캠프 AI Tech,2022-01-17,2022-06-15,22,22,21.0,20,10890000.0,38.9,7.0,44.4,8.0,0.0,0,2022,950,경기도 성남시 분당구 황새울로 246 (수내동 도담빌딩),0,100,800,95.24,100.0,8.0,1361250.0,1,40.0
AIG20200000313528,28,1298212249000,부스트캠프 AI Tech,2022-01-17,2022-06-15,22,24,21.0,20,10890000.0,25.0,5.0,40.0,8.0,0.0,0,2022,950,경기도 성남시 분당구 황새울로 246 (수내동 도담빌딩),0,100,800,95.24,109.09,8.0,1361250.0,1,40.0
AIG20200000313528,21,1298212249000,부스트캠프 AI Tech,2022-01-17,2022-06-15,22,21,20.0,19,10890000.0,26.3,5.0,36.8,7.0,0.0,0,2022,950,경기도 성남시 분당구 황새울로 246 (수내동 도담빌딩),0,100,800,95.0,95.45,8.0,1555714.29,1,36.84
AIG20200000313528,29,1298212249000,부스트캠프 AI Tech,2022-01-17,2022-06-15,22,24,22.0,22,10890000.0,23.8,5.0,47.6,10.0,0.0,0,2022,950,경기도 성남시 분당구 황새울로 246 (수내동 도담빌딩),0,100,800,100.0,109.09,8.0,1089000.0,1,45.45
AIG20200000313528,25,1298212249000,부스트캠프 AI Tech,2022-01-17,2022-06-15,22,21,19.0,18,10890000.0,22.2,4.0,50.0,9.0,5.6,1,2022,950,경기도 성남시 분당구 황새울로 246 (수내동 도담빌딩),0,100,800,94.74,95.45,8.0,1089000.0,1,55.56
