과정명,기관ID,과정ID,회차,등급,만족도,취업률_3개월,취업률_6개월,수강비,실제훈련비,정원,훈련대상,커리큘럼
"(언리얼엔진)3D게임 클라이언트 개발자 양성과정[VR, PC 등]",500020034842,AIG20240000459258,3,,959,,,12151040,12151040,25,K-디지털 트레이닝,
"기업의 업무 자동화(RPA, 챗GPT) 플랫폼(JAVA, Spring) 개발",500020062489,AIG20240000459130,3,,948,,,9018350,9018350,25,K-디지털 트레이닝,
[K디지털] AI&빅데이터 분석 활용 풀스택 서비스 개발,500020016923,AIG20230000455714,6,,852,,,9950850,9950850,25,K-디지털 트레이닝,
의료 Medical AI 분석 서비스 개발자 과정,500020026790,AIG20230000455619,2,,648,,,9249550,9249550,25,K-디지털 트레이닝,
 클라우드 기반 빅데이터 융합 자바(JAVA) 풀스택개발자 양성과정,500020017030,AIG20230000455588,5,,881,,,9097920,9097920,25,K-디지털 트레이닝,
[K디지털] 실무 프로젝트기반 메타버스 플랫폼 콘텐츠 제작,500020016923,AIG20230000412705,8,,956,,,8813610,8813610,25,K-디지털 트레이닝,
(실무 프로젝트기반) 자바 풀스택 개발자(React.js와 Springboot활용),500020021310,AIG20230000412581,8,,946,,,10045620,10045620,25,K-디지털 트레이닝,
MSA기반 플러터(Dart)활용 자바(JAVA)프론트엔드 백엔드 풀스택 웹(앱)개발,500020037783,AIG20230000412750,13,,989,,,9477000,9477000,25,K-디지털 트레이닝,
빅데이터분석(ElasticStack)활용&자바웹개발자,500020027870,AIG20240000498073,5,,00,,,10347370,10347370,25,K-디지털 트레이닝,
"[취업기업확대]AI활용 풀스택(프론트엔드,백엔드)부트캠프(자바,파이썬,플러터)",500020037783,AIG20240000498182,8,,00,,,10062580,10062580,25,K-디지털 트레이닝,
[정보보안] 취약점분석 등 정보보안 전문가 취업캠프,500020028586,AIG20240000498079,5,,00,,,10043590,10043590,25,K-디지털 트레이닝,
"AWS 풀스택 웹앱(자바, 스프링, 리액트) 지역산업기반 개발자 양성",500020061827,AIG20240000459360,7,,929,,,9493000,9493000,25,K-디지털 트레이닝,
JAVA 풀스택 웹&앱 개발자(클라우드) 취업캠프  ,500020028586,AIG20240000459298,5,,00,,,10252440,10252440,25,K-디지털 트레이닝,
JAVA 풀스택 웹&앱 개발자(클라우드) 취업캠프  ,500020028586,AIG20240000459298,8,,00,,,10252440,10252440,25,K-디지털 트레이닝,
KT클라우드와 NHN Cloud로 완성하는 클라우드 엔지니어 양성,500020031803,AIG20230000455736,9,,856,,,9097920,9097920,25,K-디지털 트레이닝,
자바(JAVA)&클라우드(AWS) 활용 풀스택 취업캠프[의료영상 API연동 프로젝트],500020028586,AIG20230000455604,5,,780,,,10235160,10235160,25,K-디지털 트레이닝,
AI 네이티브 언리얼(Unreal) 게임프로그래밍(VR콘텐츠 제작 전문가 양성),500020053631,AIG20240000498100,3,,00,,,11695370,11695370,25,K-디지털 트레이닝,
MSA기반 플러터(Dart)활용 자바(JAVA)프론트엔드 백엔드 풀스택 웹(앱)개발,500020037783,AIG20230000412750,14,,989,,,9477000,9477000,25,K-디지털 트레이닝,
(실무 프로젝트기반) 자바 풀스택 개발자(React.js와 Springboot활용),500020021310,AIG20230000412581,9,,946,,,10045620,10045620,25,K-디지털 트레이닝,
인공지능(AI)활용 서비스 개발자(프론트엔드_React) 취업과정,500020027870,AIG20240000498290,3,,00,,,9872720,9872720,25,K-디지털 트레이닝,
"[취업기업확대]AI활용 풀스택(프론트엔드,백엔드)부트캠프(자바,파이썬,플러터)",500020037783,AIG20240000498182,9,,00,,,10062580,10062580,25,K-디지털 트레이닝,
AWS 클라우드 환경의 AI 적용 백엔드 API 서버 개발자 양성 과정,500020041301,AIG20240000498180,2,,00,,,8391810,8391810,25,K-디지털 트레이닝,
[정보보안] 취약점분석 등 정보보안 전문가 취업캠프,500020028586,AIG20240000498079,2,,00,,,10043590,10043590,25,K-디지털 트레이닝,
빅데이터분석(ElasticStack)활용&자바웹개발자,500020027870,AIG20240000498073,2,,00,,,10347370,10347370,25,K-디지털 트레이닝,
자바 웹 서비스와 CI/CD 자동화를 위한 컨테이너 기술 종합 과정,500020023588,AIG20240000498065,4,,00,,,9872720,9872720,25,K-디지털 트레이닝,
[Etevers] 언리얼엔진 DX Wave (3D Artist),500037517077,AIG20240000459426,4,,665,,,17424000,17424000,25,K-디지털 트레이닝,
AI기반 빅데이터 플랫폼 풀스택 개발자,500020019775,AIG20240000459214,4,,00,,,9493000,9493000,25,K-디지털 트레이닝,
빅데이터 기반 AI활용 앱&웹 개발자(풀스택) 취업캠프,500020028586,AIG20240000459113,4,,886,,,10252440,10252440,25,K-디지털 트레이닝,
JAVA(자바)활용 스마트팩토리 MES 웹 솔루션 개발자,500020059068,AIG20230000455633,4,,914,,,9003150,9003150,25,K-디지털 트레이닝,
자바(JAVA)&클라우드(AWS) 활용 풀스택 취업캠프[의료영상 API연동 프로젝트],500020028586,AIG20230000455604,9,,780,,,10235160,10235160,25,K-디지털 트레이닝,
언리얼엔진을 이용한 메타버스 콘텐츠 제작 과정,500039029321,AIG20230000455596,3,,951,,,9856080,9856080,25,K-디지털 트레이닝,
클라우드 기반 정보시스템 구축 전문가 양성,500020011407,AIG20230000412868,8,,912,,,9097920,9097920,25,K-디지털 트레이닝,
MSA기반 플러터(Dart)활용 자바(JAVA)프론트엔드 백엔드 풀스택 웹(앱)개발,500020037783,AIG20230000412750,15,,989,,,9477000,9477000,25,K-디지털 트레이닝,
융합_데이터 기반 차세대 디지털 헬스케어 AI 솔루션,500020049185,AIG20240000458999,3,,902,,,16335000,16335000,25,K-디지털 트레이닝,
"AWS기반 HyperAutomation융합 웹서비스플랫폼개발(JAVA,Python,RPA)",500020044601,AIG20230000455734,6,,935,,,9097920,9097920,25,K-디지털 트레이닝,
MSA기반 플러터(Dart)활용 자바(JAVA)프론트엔드 백엔드 풀스택 웹(앱)개발,500020037783,AIG20230000412750,16,,989,,,9477000,9477000,25,K-디지털 트레이닝,
"[취업기업확대]AI활용 풀스택(프론트엔드,백엔드)부트캠프(자바,파이썬,플러터)",500020037783,AIG20240000498182,10,,00,,,10062580,10062580,25,K-디지털 트레이닝,
"[취업기업확대]AI활용 풀스택(프론트엔드,백엔드)부트캠프(자바,파이썬,플러터)",500020037783,AIG20240000498182,11,,00,,,10062580,10062580,25,K-디지털 트레이닝,
[정보보안] 취약점분석 등 정보보안 전문가 취업캠프,500020028586,AIG20240000498079,6,,00,,,10043590,10043590,25,K-디지털 트레이닝,
MSA기반 플러터(Dart)활용 자바(JAVA)프론트엔드 백엔드 풀스택 웹(앱)개발,500020037783,AIG20230000412750,17,,989,,,9477000,9477000,25,K-디지털 트레이닝,
핀테크 서비스를 위한 풀스택 개발자 양성 과정,500020050681,AIG20230000412606,9,,699,,,9173730,9173730,25,K-디지털 트레이닝,
[Intel] 엣지 AI SW 아카데미,500037517077,AIG20230000412815,15,,898,,,16335000,16335000,25,K-디지털 트레이닝,
MSA기반 플러터(Dart)활용 자바(JAVA)프론트엔드 백엔드 풀스택 웹(앱)개발,500020037783,AIG20230000412750,18,,989,,,9477000,9477000,25,K-디지털 트레이닝,
"[취업기업확대]AI활용 풀스택(프론트엔드,백엔드)부트캠프(자바,파이썬,플러터)",500020037783,AIG20240000498182,12,,00,,,10062580,10062580,25,K-디지털 트레이닝,
클라우드 시스템 운영관리자,500020019775,AIG20240000498232,2,,00,,,9493000,9493000,25,K-디지털 트레이닝,
MSA기반 플러터(Dart)활용 자바(JAVA)프론트엔드 백엔드 풀스택 웹(앱)개발,500020037783,AIG20230000412750,19,,989,,,9477000,9477000,25,K-디지털 트레이닝,
심화_LowCode 기반의 AI융합 스마트관리시스템 개발 심화과정,500020055895,AIG20240000459086,5,,809,,,4673920,4673920,25,K-디지털 트레이닝,
"[취업기업확대]AI활용 풀스택(프론트엔드,백엔드)부트캠프(자바,파이썬,플러터)",500020037783,AIG20240000498182,13,,00,,,10062580,10062580,25,K-디지털 트레이닝,
"IoT 지능형 관리시스템 웹&앱 개발자 양성과정(Java,Python,React)",500020062236,AIG20240000459319,2,,00,,,8543700,8543700,25,K-디지털 트레이닝,
ROS2와 인공지능을 활용한 자율주행 로봇 개발자 양성과정,500039029321,AIG20230000412852,8,,926,,,9097920,9097920,25,K-디지털 트레이닝,
MSA기반 플러터(Dart)활용 자바(JAVA)프론트엔드 백엔드 풀스택 웹(앱)개발,500020037783,AIG20230000412750,20,,989,,,9477000,9477000,25,K-디지털 트레이닝,
"[취업기업확대]AI활용 풀스택(프론트엔드,백엔드)부트캠프(자바,파이썬,플러터)",500020037783,AIG20240000498182,14,,00,,,10062580,10062580,25,K-디지털 트레이닝,
자바 스프링 리액트로 완성하는 클라우드 활용 풀스택 개발 ,500020031803,AIG20230000412579,20,,920,,,9477000,9477000,25,K-디지털 트레이닝,
(기업연계형) 챗GPT활용 및 DevOps(데브옵스) 개발자 부트캠프,500020054992,AIG20240000459024,2,,00,,,10822020,10822020,25,K-디지털 트레이닝,
MSA기반 플러터(Dart)활용 자바(JAVA)프론트엔드 백엔드 풀스택 웹(앱)개발,500020037783,AIG20230000412750,21,,989,,,9477000,9477000,25,K-디지털 트레이닝,
클라우드(PaaS)를 활용한 지능형교통정보시스템 UI구현 전문가 양성,500034282945,AIG20240000459288,4,,00,,,10442300,10442300,25,K-디지털 트레이닝,
"[취업기업확대]AI활용 풀스택(프론트엔드,백엔드)부트캠프(자바,파이썬,플러터)",500020037783,AIG20240000498182,15,,00,,,10062580,10062580,25,K-디지털 트레이닝,
"[ 로봇 ] AI 영상기법을 활용한 실용적인 산업화 자율주행, 서비스 협동로봇 개발자 과정 (라이다, 뎁스카메라) ",500020026271,AIG20240000459409,1,,00,,,9732840,9732840,25,K-디지털 트레이닝,
"AI를 활용한 자바(JAVA)개발자 (React, SpringBoot, LLM)",500020014478,AIG20240000459262,3,,00,,,9872720,9872720,25,K-디지털 트레이닝,
인공지능 기술 융합 프론트엔드 웹 전문개발자 양성,500020033667,AIG20240000459246,2,,00,,,8163980,8163980,25,K-디지털 트레이닝,
인공지능 기술 융합 백엔드 웹 전문개발자 양성,500020033667,AIG20240000459245,3,,939,,,9872720,9872720,25,K-디지털 트레이닝,
클라우드 보안엔지니어(화이트해커) 양성,500020053631,AIG20230000455554,10,,898,,,9761310,9761310,25,K-디지털 트레이닝,
융합_[인텔] AI융합 DX 마스터 클래스,500037517077,AIG20240000459291,3,,961,,,16335000,16335000,25,K-디지털 트레이닝,
(정보보안)웹서버개발 및 웹보안 솔루션 구축 융합과정,500020038752,AIG20230000455622,3,,827,,,9789740,9789740,25,K-디지털 트레이닝,
"자바와 스프링을 활용한 하이브리드 웹앱 풀스택(프론트,백엔드)개발자",500020023588,AIG20230000412786,6,,735,,,9856080,9856080,25,K-디지털 트레이닝,
MSA기반 플러터(Dart)활용 자바(JAVA)프론트엔드 백엔드 풀스택 웹(앱)개발,500020037783,AIG20230000412750,22,,989,,,9477000,9477000,25,K-디지털 트레이닝,
"[취업기업확대]AI활용 풀스택(프론트엔드,백엔드)부트캠프(자바,파이썬,플러터)",500020037783,AIG20240000498182,16,,00,,,10062580,10062580,25,K-디지털 트레이닝,
[K디지털]스마트웹기반 콘텐츠기획과 UXUI디자인 및 웹&앱제작,500020016923,AIG20230000455555,5,,996,,,8813610,8813610,25,K-디지털 트레이닝,
"[취업기업확대]AI활용 풀스택(프론트엔드,백엔드)부트캠프(자바,파이썬,플러터)",500020037783,AIG20240000498182,17,,00,,,10062580,10062580,25,K-디지털 트레이닝,
자바(JAVA)&클라우드(AWS) 활용 풀스택 취업캠프[의료영상 API연동 프로젝트],500020028586,AIG20230000455604,6,,780,,,10235160,10235160,25,K-디지털 트레이닝,
MSA기반 플러터(Dart)활용 자바(JAVA)프론트엔드 백엔드 풀스택 웹(앱)개발,500020037783,AIG20230000412750,23,,989,,,9477000,9477000,25,K-디지털 트레이닝,
"[취업기업확대]AI활용 풀스택(프론트엔드,백엔드)부트캠프(자바,파이썬,플러터)",500020037783,AIG20240000498182,18,,00,,,10062580,10062580,25,K-디지털 트레이닝,
MSA기반 플러터(Dart)활용 자바(JAVA)프론트엔드 백엔드 풀스택 웹(앱)개발,500020037783,AIG20230000412750,24,,989,,,9477000,9477000,25,K-디지털 트레이닝,
"[K디지털] 실무 프로젝트기반 풀스택(스프링, 리액트, 앱) 개발자 양성",500020016923,AIG20230000412688,6,,854,,,9192690,9192690,25,K-디지털 트레이닝,
클라우드(PaaS)를 활용한 지능형교통정보시스템 UI구현 전문가 양성,500034282945,AIG20240000459288,3,,00,,,10442300,10442300,25,K-디지털 트레이닝,
심화_[한국경제신문]생성형 AI를 활용한 미디어 콘텐츠 크리에이터 캠프,500020055650,AIG20240000501219,1,,00,,,6334350,6334350,25,K-디지털 트레이닝,
심화_[한국경제신문]생성형 AI를 활용한 미디어 콘텐츠 크리에이터 캠프,500020055650,AIG20240000501219,3,,00,,,6334350,6334350,25,K-디지털 트레이닝,
심화_[한국경제신문]생성형 AI를 활용한 미디어 콘텐츠 크리에이터 캠프,500020055650,AIG20240000501219,2,,00,,,6334350,6334350,25,K-디지털 트레이닝,
심화_[한국경제신문]생성형 AI를 활용한 미디어 콘텐츠 크리에이터 캠프,500020055650,AIG20240000501219,4,,00,,,6334350,6334350,25,K-디지털 트레이닝,
"[취업기업확대]AI활용 풀스택(프론트엔드,백엔드)부트캠프(자바,파이썬,플러터)",500020037783,AIG20240000498182,19,,00,,,10062580,10062580,25,K-디지털 트레이닝,
[Unity] 유니티 부트캠프,500037517077,AIG20230000412895,14,,706,,,17424000,17424000,25,K-디지털 트레이닝,
"자바와 스프링을 활용한 하이브리드 웹앱 풀스택(프론트,백엔드)개발자",500020023588,AIG20230000412786,7,,735,,,9856080,9856080,25,K-디지털 트레이닝,
MSA기반 플러터(Dart)활용 자바(JAVA)프론트엔드 백엔드 풀스택 웹(앱)개발,500020037783,AIG20230000412750,25,,989,,,9477000,9477000,25,K-디지털 트레이닝,
"[취업기업확대]AI활용 풀스택(프론트엔드,백엔드)부트캠프(자바,파이썬,플러터)",500020037783,AIG20240000498182,20,,00,,,10062580,10062580,25,K-디지털 트레이닝,
"기업의 업무 자동화(RPA, 챗GPT) 플랫폼(JAVA, Spring) 개발",500020062489,AIG20240000459130,4,,948,,,9018350,9018350,25,K-디지털 트레이닝,
의료 Medical AI 분석 서비스 개발자 과정,500020026790,AIG20230000455619,3,,648,,,9249550,9249550,25,K-디지털 트레이닝,
심화_심층 데이터 분석을 통한 서비스 솔루션 개발자 과정,500034264417,AIG20240000498248,3,,871,,,5097490,5097490,25,K-디지털 트레이닝,
"[취업기업확대]AI활용 풀스택(프론트엔드,백엔드)부트캠프(자바,파이썬,플러터)",500020037783,AIG20240000498182,21,,00,,,10062580,10062580,25,K-디지털 트레이닝,
"기업 실무프로젝트 반영 풀스택 개발자 양성(자바,스프링,리액트,뷰,클라우드)",500020053631,AIG20240000459038,8,,818,,,10252440,10252440,25,K-디지털 트레이닝,
KT클라우드와 NHN Cloud로 완성하는 클라우드 엔지니어 양성,500020031803,AIG20230000455736,10,,856,,,9097920,9097920,25,K-디지털 트레이닝,
MSA기반 플러터(Dart)활용 자바(JAVA)프론트엔드 백엔드 풀스택 웹(앱)개발,500020037783,AIG20230000412750,26,,989,,,9477000,9477000,25,K-디지털 트레이닝,
"[취업기업확대]AI활용 풀스택(프론트엔드,백엔드)부트캠프(자바,파이썬,플러터)",500020037783,AIG20240000498182,22,,00,,,10062580,10062580,25,K-디지털 트레이닝,
MSA기반 플러터(Dart)활용 자바(JAVA)프론트엔드 백엔드 풀스택 웹(앱)개발,500020037783,AIG20230000412750,27,,989,,,9477000,9477000,25,K-디지털 트레이닝,
[CJ올리브네트웍스] 클라우드 웨이브(Cloud Wave),500037517077,AIG20230000412892,6,,931,,,0,0,26,K-디지털 트레이닝,
[삼성] 청년 SW 아카데미,500037517077,AIG20240000501189,5,,00,,,0,0,26,K-디지털 트레이닝,
[삼성] 청년 SW 아카데미,500037517077,AIG20240000501189,4,,00,,,0,0,26,K-디지털 트레이닝,
인공지능을 활용한 지능형 서비스 개발 심화 과정,500037147984,AIG20230000455507,4,,837,,,4665600,4665600,26,K-디지털 트레이닝,
클라우드 기반 정보시스템 구축 전문가 양성,500020011407,AIG20230000412868,5,,912,,,9097920,9097920,26,K-디지털 트레이닝,
[에스넷시스템] 클라우드 활용 네트워크 엔지니어 양성,500020039927,AIG20240000459163,4,,810,,,12777600,12777600,26,K-디지털 트레이닝,
언어지능기반 분석서비스 개발자과정,500020018488,AIG20240000459374,3,,960,,,9872720,9872720,26,K-디지털 트레이닝,
[크래프톤] 정글,500037517077,AIG20240000501258,4,,00,,,20963250,20963250,26,K-디지털 트레이닝,
언어지능기반 분석서비스 개발자과정,500020018488,AIG20240000459374,4,,960,,,9872720,9872720,26,K-디지털 트레이닝,
[크래프톤] 정글,500037517077,AIG20240000501258,6,,00,,,20963250,20963250,26,K-디지털 트레이닝,
[에스넷시스템] 클라우드 활용 네트워크 엔지니어 양성,500020039927,AIG20240000459163,5,,810,,,12777600,12777600,26,K-디지털 트레이닝,
융합_머신비전을 활용한 AI 기반의 첨단제조 분야 제어 SW 개발과정,500037147984,AIG20240000459170,1,,00,,,11450400,11450400,26,K-디지털 트레이닝,
인공지능을 활용한 지능형 서비스 개발 심화 과정,500037147984,AIG20230000455507,5,,837,,,4665600,4665600,26,K-디지털 트레이닝,
[삼성] 청년 SW 아카데미,500037517077,AIG20240000501189,11,,00,,,0,0,27,K-디지털 트레이닝,
[삼성] 청년 SW 아카데미,500037517077,AIG20240000501189,15,,00,,,0,0,27,K-디지털 트레이닝,
[삼성] 청년 SW 아카데미,500037517077,AIG20240000501189,6,,00,,,0,0,27,K-디지털 트레이닝,
[삼성] 청년 SW 아카데미,500037517077,AIG20240000501189,14,,00,,,0,0,27,K-디지털 트레이닝,
[크래프톤] 정글,500037517077,AIG20240000501258,1,,00,,,20963250,20963250,27,K-디지털 트레이닝,
 클라우드 기반 빅데이터 융합 자바(JAVA) 풀스택개발자 양성과정,500020017030,AIG20230000455588,4,,881,,,9097920,9097920,27,K-디지털 트레이닝,
[KT] AIVLE School,500037517077,AIG20240000501190,7,,00,,,15246000,15246000,27,K-디지털 트레이닝,
[KT] AIVLE School,500037517077,AIG20240000501190,11,,00,,,15246000,15246000,27,K-디지털 트레이닝,
[KT] AIVLE School,500037517077,AIG20240000501190,13,,00,,,15246000,15246000,27,K-디지털 트레이닝,
[KT] AIVLE School,500037517077,AIG20240000501190,4,,00,,,15246000,15246000,27,K-디지털 트레이닝,
[KT] AIVLE School,500037517077,AIG20240000501190,14,,00,,,15246000,15246000,27,K-디지털 트레이닝,
[현대이지웰] Java 풀스택 개발자 아카데미,500020039927,AIG20240000459204,5,,803,,,17133600,17133600,27,K-디지털 트레이닝,
[엔비디아] NVIDIA AI Academy,500020055650,AIG20230000455744,6,,798,,,17424000,17424000,27,K-디지털 트레이닝,
전자정부 프레임워크 & React(AWS) 기반 풀_스택 개발자 양성과정,500020044796,AIG20240000459389,5,,968,,,11087820,11087820,28,K-디지털 트레이닝,
백엔드 개발자 부트캠프(스프링),500020039927,AIG20240000498279,2,,00,,,14229600,14229600,28,K-디지털 트레이닝,
[계룡건설] 빅데이터 기반 Green Tech SW개발자,500037517077,AIG20230000412603,9,,875,,,16262400,16262400,28,K-디지털 트레이닝,
[프로젝트] 클라우드(AWS)활용 자바/스프링 개발 부트캠프,500020028075,AIG20240000498058,2,,00,,,9872720,9872720,28,K-디지털 트레이닝,
전자정부 프레임워크 & React(AWS) 기반 풀_스택 개발자 양성과정,500020044796,AIG20240000459389,6,,968,,,11087820,11087820,28,K-디지털 트레이닝,
데이터 분석가 부트캠프(파이썬),500020039927,AIG20240000498314,2,,00,,,14374800,14374800,28,K-디지털 트레이닝,
데이터 분석 기반 인공지능 시스템 개발자 양성 과정,500034264417,AIG20230000455666,5,,795,,,8576100,8576100,28,K-디지털 트레이닝,
[프로젝트] 클라우드(AWS)활용 자바/스프링 개발 부트캠프,500020028075,AIG20240000498058,3,,00,,,9872720,9872720,28,K-디지털 트레이닝,
전자정부 프레임워크 & React(AWS) 기반 풀_스택 개발자 양성과정,500020044796,AIG20240000459389,7,,968,,,11087820,11087820,28,K-디지털 트레이닝,
[KB] IT's Your Life,500020039927,AIG20240000459022,11,,775,,,17424000,17424000,28,K-디지털 트레이닝,
[KB] IT's Your Life,500020039927,AIG20240000459022,15,,775,,,17424000,17424000,28,K-디지털 트레이닝,
[KB] IT's Your Life,500020039927,AIG20240000459022,13,,775,,,17424000,17424000,28,K-디지털 트레이닝,
[KB] IT's Your Life,500020039927,AIG20240000459022,19,,775,,,17424000,17424000,28,K-디지털 트레이닝,
[KB] IT's Your Life,500020039927,AIG20240000459022,12,,775,,,17424000,17424000,28,K-디지털 트레이닝,
[KB] IT's Your Life,500020039927,AIG20240000459022,14,,775,,,17424000,17424000,28,K-디지털 트레이닝,
[KB] IT's Your Life,500020039927,AIG20240000459022,16,,775,,,17424000,17424000,28,K-디지털 트레이닝,
[KB] IT's Your Life,500020039927,AIG20240000459022,18,,775,,,17424000,17424000,28,K-디지털 트레이닝,
백엔드 개발자 부트캠프(스프링),500020039927,AIG20240000498279,3,,00,,,14229600,14229600,28,K-디지털 트레이닝,
[다쏘시스템코리아] 카티아(CATIA) 첨단 로봇•제조 스쿨,500020024372,AIG20240000501227,1,,00,,,17424000,17424000,28,K-디지털 트레이닝,
[카카오엔터프라이즈] 카카오클라우드로 배우는 AIaaS 마스터 클래스,500020024372,AIG20240000501236,1,,00,,,18150000,18150000,28,K-디지털 트레이닝,
[신한DS] 금융 SW 아카데미,500037517077,AIG20240000501195,1,,00,,,17714400,17714400,28,K-디지털 트레이닝,
[신한DS] 금융 SW 아카데미,500037517077,AIG20240000501195,2,,00,,,17714400,17714400,28,K-디지털 트레이닝,
전자정부 프레임워크 & React(AWS) 기반 풀_스택 개발자 양성과정,500020044796,AIG20240000459389,8,,968,,,11087820,11087820,28,K-디지털 트레이닝,
[프로젝트] 클라우드(AWS)활용 자바/스프링 개발 부트캠프,500020028075,AIG20240000498058,4,,00,,,9872720,9872720,28,K-디지털 트레이닝,
데이터 분석가 부트캠프(파이썬),500020039927,AIG20240000498314,3,,00,,,14374800,14374800,28,K-디지털 트레이닝,
백엔드 개발자 부트캠프(스프링),500020039927,AIG20240000498279,4,,00,,,14229600,14229600,28,K-디지털 트레이닝,
현대오토에버 IT 보안 스쿨,500020053280,AIG20240000459115,2,,986,,,18150000,18150000,28,K-디지털 트레이닝,
현대오토에버 웹&앱 개발 스쿨,500020053280,AIG20240000459111,2,,903,,,18150000,18150000,28,K-디지털 트레이닝,
현대오토에버 클라우드 스쿨,500020053280,AIG20240000459109,2,,738,,,18150000,18150000,28,K-디지털 트레이닝,
현대오토에버 모빌리티 임베디드 SW 스쿨,500020053280,AIG20230000412834,5,,914,,,18150000,18150000,28,K-디지털 트레이닝,
JAVA를 활용한 클라우드 현업 멘토 스쿨,500020033277,AIG20240000459160,4,,943,,,9113280,9113280,28,K-디지털 트레이닝,
전자정부 프레임워크 & React(AWS) 기반 풀_스택 개발자 양성과정,500020044796,AIG20240000459389,9,,968,,,11087820,11087820,28,K-디지털 트레이닝,
데이터 분석 기반 인공지능 시스템 개발자 양성 과정,500034264417,AIG20230000455666,6,,795,,,8576100,8576100,28,K-디지털 트레이닝,
[계룡건설] 빅데이터 기반 Green Tech SW개발자,500037517077,AIG20230000412603,10,,875,,,16262400,16262400,28,K-디지털 트레이닝,
[프로젝트] 클라우드(AWS)활용 자바/스프링 개발 부트캠프,500020028075,AIG20240000498058,5,,00,,,9872720,9872720,28,K-디지털 트레이닝,
시스코(CISCO) 보안 아카데미,500020053280,AIG20240000459012,3,,851,,,17714400,17714400,28,K-디지털 트레이닝,
클라우드 기반 웹 개발자(보안코딩) 양성,500020011407,AIG20240000459307,3,,932,,,9720830,9720830,29,K-디지털 트레이닝,
JAVA 기반 백엔드 개발자 양성,500041614685,AIG20230000455609,6,,863,,,17424000,17424000,30,K-디지털 트레이닝,
자바(JAVA) 웹개발자 양성과정(클라우드),500020038200,AIG20240000459242,2,,905,,,9113280,9113280,30,K-디지털 트레이닝,
SK네트웍스 Family AI 캠프,500020011379,AIG20240000459068,10,,751,,,17424000,17424000,30,K-디지털 트레이닝,
(네이버클라우드) 하이퍼스케일 AI 활용 웹 어플리케이션 개발 과정,500041675250,AIG20240000498236,1,,00,,,21780000,21780000,30,K-디지털 트레이닝,
심화_ROS2와 AI을 활용한 자율주행&로봇팔 개발자 부트캠프,500039029321,AIG20240000459108,3,,898,,,5123320,5123320,30,K-디지털 트레이닝,
(네이버클라우드) 클라우드 네이티브 기반 웹 풀스택 개발자 과정,500041675250,AIG20230000412897,18,,809,,,18876000,18876000,30,K-디지털 트레이닝,
AWS와 Docker & Kubernetes를 활용한 Java Full-Stack 개발자 양성과정,500020052430,AIG20230000412645,7,,941,,,9856080,9856080,30,K-디지털 트레이닝,
챗GPT를 활용한 자바(JAVA) 스프링 및 데이터 분석 시스템기반 웹 플랫폼 구축 과정,500034091717,AIG20240000459042,3,,967,,,9872720,9872720,30,K-디지털 트레이닝,
Cisco VirtuNet Cloud 통합 구현,500020055650,AIG20230000455741,5,,906,,,17424000,17424000,30,K-디지털 트레이닝,
빅데이터 기반(파이썬·자바·웹) 엘라스틱 검색엔진 개발자,500035498556,AIG20240000498151,1,,00,,,9113280,9113280,30,K-디지털 트레이닝,
"ChatGPT 활용 금융서비스 백엔드(자바, 스프링) 개발자",500020061830,AIG20240000459065,2,,1000,,,9113280,9113280,30,K-디지털 트레이닝,
콘텐츠 융합을 위한 자바(JAVA)기반  Full Stack 개발자 양성과정,500020033277,AIG20230000412712,10,,850,,,9097920,9097920,30,K-디지털 트레이닝,
MSA기반 자바 백엔드 개발자 양성과정,500020051277,AIG20240000459194,3,,714,,,9189220,9189220,30,K-디지털 트레이닝,
AI기반 시스템 및 응용소프트웨어 개발자 양성과정,500020036576,AIG20240000459064,2,,00,,,9018350,9018350,30,K-디지털 트레이닝,
클라우드 가상화 기반 자바(JAVA) 개발자 양성과정,500020051277,AIG20230000412856,5,,862,,,9173730,9173730,30,K-디지털 트레이닝,
융합_프로젝트 기반 에듀테크 기획자,500039652243,AIG20240000498405,1,,00,,,7081770,7081770,30,K-디지털 트레이닝,
[기업프로젝트] 메타버스 게임 개발자 양성,500020031484,AIG20240000498331,1,,00,,,10632160,10632160,30,K-디지털 트레이닝,
[베스핀글로벌] 멀티클라우드 엔지니어 취업 실무 과정,500041642929,AIG20240000498368,1,,00,,,18150000,18150000,30,K-디지털 트레이닝,
[LG유플러스] 유레카 프론트엔드 개발자,500020039927,AIG20240000459339,4,,754,,,19602000,19602000,30,K-디지털 트레이닝,
[LG유플러스] 유레카 프론트엔드 개발자,500020039927,AIG20240000459339,3,,754,,,19602000,19602000,30,K-디지털 트레이닝,
인터렉티브 생성형 AI 챗봇 & 풀스택 개발자,500020052026,AIG20240000459296,1,,00,,,9113280,9113280,30,K-디지털 트레이닝,
[LG유플러스] 유레카 백엔드 개발자,500020039927,AIG20240000459164,4,,898,,,19602000,19602000,30,K-디지털 트레이닝,
[LG유플러스] 유레카 백엔드 개발자,500020039927,AIG20240000459164,3,,898,,,19602000,19602000,30,K-디지털 트레이닝,
"Public Cloud 활용 자바(JAVA) 웹 애플리케이션(Spring, Docker) 개발자 양성과정",500020020284,AIG20230000412578,11,,804,,,10235160,10235160,30,K-디지털 트레이닝,
[삼정] ESG 데이터 활용 풀스택 개발자 과정,500020020547,AIG20240000498395,1,,00,,,18876000,18876000,30,K-디지털 트레이닝,
